,0
2018-01-01,0.85
2018-01-03,2.74
2018-01-08,1.47
2018-01-11,0.52
2018-01-13,1.79
2018-01-21,0.0
2018-02-05,0.0
2018-02-12,5.359999999999999
2018-02-17,1.98
2018-02-20,0.24
2018-02-22,0.92
2018-02-25,0.43000000000000005
2018-02-27,4.06
2018-03-04,3.5100000000000002
2018-03-07,0.55
2018-03-09,1.5699999999999998
2018-03-12,0.0
2018-03-14,2.9
2018-03-17,0.14
2018-03-22,0.0
2018-03-24,0.6
2018-03-27,0.0
2018-04-11,0.0
2018-04-13,1.66
2018-04-21,0.0
2018-04-26,0.07
2018-04-28,1.09
2018-05-01,0.02
2018-05-06,0.44
2018-05-16,0.11
2018-06-05,0.21000000000000002
2018-06-20,0.35000000000000003
2018-06-22,0.08
2018-06-30,0.22
2018-07-20,0.0
2018-08-04,0.38
2018-08-29,0.01
2018-09-05,1.9500000000000002
2018-09-25,0.43
2018-10-08,0.0
2018-10-18,0.0
2018-10-23,0.6699999999999999
2018-10-28,0.26
2018-10-30,0.17
2018-11-09,0.75
2018-11-22,1.08
2018-11-27,0.24000000000000002
2018-12-02,0.5900000000000001
2018-12-04,0.33
2018-12-09,0.0
2018-12-17,0.29
2018-12-24,1.6199999999999999
2018-12-29,0.33999999999999997
2019-01-06,0.91
2019-01-11,0.38
2019-01-16,0.45
2019-01-18,1.69
2019-01-23,0.78
2019-01-28,0.45
2019-01-31,0.01
2019-02-07,0.36
2019-02-10,0.35
2019-02-12,0.27
2019-02-15,0.6799999999999999
2019-02-17,0.43000000000000005
2019-02-20,0.81
2019-02-25,0.12
2019-02-27,0.52
2019-03-09,0.19
2019-03-17,0.05
2019-04-01,0.4
2019-04-21,0.08
2019-04-23,0.37
2019-05-01,0.03
2019-05-06,0.0
2019-05-21,0.32
2019-05-26,0.11
2019-06-15,0.09
2019-06-20,0.0
2019-06-27,0.9700000000000001
2019-07-07,0.13
2019-07-10,0.26
2019-07-12,0.37
2019-08-01,0.46
2019-08-19,0.05
2019-08-31,0.07
2019-09-23,0.08
2019-09-25,0.0
2019-10-03,0.05
2019-10-13,0.28
2019-10-15,0.42
2019-10-23,0.11
2019-10-28,0.1
2019-10-30,1.63
2019-11-12,0.29000000000000004
2019-11-14,0.03
2019-11-17,0.0
2019-11-19,0.35
2019-11-22,0.03
2019-11-24,0.28
2019-11-27,0.63
2019-11-29,1.2200000000000002
2019-12-09,1.0
2019-12-14,1.9200000000000002
2019-12-17,0.5900000000000001
2019-12-24,2.06
2019-12-27,0.06
2019-12-29,0.74
2020-01-01,0.61
2020-01-03,0.47
2020-01-06,0.65
2020-01-13,1.5499999999999998
2020-01-16,0.19999999999999998
2020-01-21,1.3900000000000001
2020-01-23,0.11
2020-01-26,2.5300000000000002
2020-01-28,0.38
2020-02-05,1.31
2020-02-07,1.9
2020-02-10,0.22
2020-02-12,0.9
2020-02-15,0.52
2020-02-20,2.75
2020-02-22,4.16
2020-02-25,1.1600000000000001
2020-02-27,0.93
2020-03-01,0.05
2020-03-13,0.15
2020-03-16,0.14
2020-03-21,0.45
2020-03-26,0.02
2020-04-05,0.03
2020-04-15,0.04
2020-04-17,0.0
2020-04-20,0.36
2020-04-25,0.1
2020-04-27,0.66
2020-04-30,0.26
2020-07-09,0.28
2020-07-14,0.44000000000000006
2020-07-29,0.36
2020-08-25,0.22
2020-09-07,0.21
2020-09-22,0.0
2020-11-01,0.19
2020-11-03,0.93
2020-11-16,0.18
2020-11-18,0.64
2020-11-21,0.03
2020-11-23,0.56
2020-12-03,2.9499999999999997
2020-12-06,1.05
2020-12-16,2.35
2020-12-28,1.43
